Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
0,100,5000,500,100,150,150,1,0,0,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4831,4780.05,219.952,0,0,0,0,0.083,0,0,0.95601,0.1,0.1,0.1,0.3,100,150,150,100,5000,4831,1,1
1,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,219.952,0.508104,2.32942,7.854,4780.05,4882.81,117.194,0,,0,0,,0,0,0.976561,,,,,100,150,150,319.952,5000,4780.05,1,
2,100,5000,500,100,150,150,1,0,0,0,,,0.508102,0.328373,0.887788,0.15906,2.32942,0.413463,0.619373,0.463859,7.854,1.0002,1.55281,0.257418,106.503,4.4094,5.21827,2.00041,5102.76,4761.67,238.327,102.758,,0,0,,0,0,0.952335,,,,,100.508,152.329,157.854,206.503,5000,5102.76,1,
3,100,5000,500,100,150,150,1,0,0,0,,,4.44784,0.530713,0.804552,0.287177,5.60275,1.48333,0.00526405,0.849517,0.697144,0.349006,1.03129,1.06632,227.579,8.11251,6.31826,0.777088,4776.11,4611.91,388.093,0,,0,0,,0,0,0.922381,,,,,104.448,155.603,150.697,327.579,5000,4776.11,1,
4,100,5000,500,100,150,150,1,0,0,0,,,8.32241,0.935881,0.71823,0.826916,5.54214,0.889447,0.149122,0.820862,0,0,0,0,375.088,5.11686,14.0471,0.933119,4850.23,4701.6,298.401,0,,0,0,,0,0,0.94032,,,,,108.322,155.542,149.14,475.088,5000,4850.23,1,
5,100,5000,500,100,150,150,1,0,0,0,,,3.52528,0.513464,0.107193,0.373069,13.1236,0.644466,0.540621,0.955499,0.940765,1.15094,0.592752,0.397283,279.952,4.87206,10.5072,9.01926,5090.55,4625.74,374.263,90.5518,,0,0,,0,0,0.925147,,,,,103.525,163.124,150.941,379.952,5000,5090.55,1,
6,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,301.59,11.7748,0.310727,1.85896,4832.73,4611.8,388.199,0,,0,0,,1,0,0.92236,,,,,105.674,159.473,157.526,451.59,5000,4832.73,1,
7,150,7500,750,150,225,225,1.5,0,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,374.254,10.4312,8.97334,11.5771,4913.39,4993.75,6.25491,0,,0,0,,1,0,0.998749,,,,,117.449,159.784,159.385,524.254,5000,4913.39,1,
8,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5368,4669.71,330.292,0,,0,0,,1,0,0.933942,,,,,127.88,168.757,170.962,125.273,5000,5368,1,
9,100,5000,500,100,150,150,1,0,0,0,,,27.8798,0.95913,0.72444,0.61993,18.7569,1.4521,1.60729,0.29877,20.9622,1.2592,1.18019,1.54974,355.565,3.90193,9.33049,5.63308,4669.71,4935,64.998,0,,0,0,,0,0,0.987,,,,,127.88,168.757,170.962,455.565,5000,4669.71,1,
