Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
0,100,5000,500,100,150,150,1,0,0,0,0.108,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4831,4987.13,12.8677,0,0,0,0,0.083,0,0,0.997426,0.1,0.1,0.1,0.3,100,150,150,100,5000,4831,1,1
1,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,12.8678,2.84981,3.00246,1.20177,4987.13,4772.08,227.92,0,,0,0,,0,0,0.954416,,,,,100,150,150,112.868,5000,4987.13,1,
2,100,5000,500,100,150,150,1,0,0,0,,,2.84982,0.994452,0.0172696,0.323551,3.00246,0.585077,1.1575,0.746925,1.20177,0.688618,1.25429,0.48263,220.866,5.31926,6.54789,1.7166,4784.95,4724.69,275.31,0,,0,0,,0,0,0.944938,,,,,102.85,153.002,151.202,320.866,5000,4784.95,1,
3,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,238.28,7.17424,1.65176,4.60679,4952.61,4870.93,129.072,0,,1,0,,0,1,0.974186,,,,,105.258,156.307,150.466,363.28,5000,4952.61,1,
4,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,115.64,7.21413,6.2482,4.83646,5109.21,4514.23,485.767,0,,0,1,,0,1,0.902847,,,,,112.432,157.959,155.073,240.64,5000,5109.21,1,
5,100,5000,500,100,150,150,1,0,0,0,,,19.6461,0.815311,0.325558,0.586885,14.2071,0.456132,0.986801,0.489791,9.90907,0.494513,0.641931,0.896932,492.468,4.83112,14.581,10.0289,4629.87,4539.35,460.652,0,,0,0,,0,0,0.90787,,,,,119.646,164.207,159.909,592.468,5000,4629.87,1,
6,100,5000,500,100,150,150,1,0,0,0,,,4.05401,0.571696,0.785669,0.543333,14.1055,0.712623,1.63766,0.141485,9.30794,0.850676,1.29791,0.136549,433.185,7.34176,1.69223,1.25614,5075.58,4601.71,398.29,75.5781,,0,0,,0,0,0.920342,,,,,104.054,164.106,159.308,533.185,5000,5075.58,1,
7,100,5000,500,100,150,150,1,0,0,0,,,7.00436,0.685467,0.384527,0.469463,1.07007,0.890306,1.24906,1.12571,1.39433,0.346097,1.45847,0.328951,388.821,9.3552,10.3455,11.6098,4986.78,4770.92,229.082,0,,0,0,,0,0,0.954184,,,,,107.004,151.07,151.394,488.821,5000,4986.78,1,
8,100,5000,500,100,150,150,1,0,0,0,,,9.05214,0.966898,0.82308,0.320137,9.22435,0.0935793,0.327741,1.45843,11.1099,0.16311,0.21271,0.829798,199.695,5.60162,1.09268,8.41927,5169.21,4707.77,292.229,169.208,,0,0,,0,0,0.941554,,,,,109.052,159.224,161.11,299.695,5000,5169.21,1,
9,100,5000,500,100,150,150,1,0,0,0,,,3.74819,0.423438,0.644383,0.978239,0.392548,1.49822,0.701091,0.0231938,8.36447,1.44363,1.02806,1.41103,279.724,5.67465,10.2103,5.83816,4767.64,4530.59,469.409,0,,0,0,,0,0,0.906118,,,,,103.748,150.393,158.364,379.724,5000,4767.64,1,
10,100,5000,500,100,150,150,1,0,0,0,,,6.57044,0.537847,0.603569,1.00598,9.43929,0.27883,0.88722,0.893153,3.3009,0.503247,0.522725,0.859355,450.098,11.583,8.14662,4.93106,4822.82,4641.34,358.657,0,,0,0,,0,0,0.928269,,,,,106.57,159.439,153.301,550.098,5000,4822.82,1,
11,100,5000,500,100,150,150,1,0,0,0,,,10.2177,0.436163,0.0201363,0.689202,7.14799,0.14165,0.727498,0.266978,4.53651,0.868742,1.07097,1.08305,336.754,6.52596,1.05031,3.40067,5110.75,4948.48,51.5175,110.752,,0,0,,0,0,0.989697,,,,,110.218,157.148,154.537,436.754,5000,5110.75,1,
12,100,5000,500,100,150,150,1,0,0,0,,,6.39085,0.106126,0.929433,0.702006,1.42131,0.045796,0.402391,0.178064,1.12555,1.48102,0.386721,1.39017,42.5798,0.463901,2.7432,2.31946,5196.39,4754.18,245.819,196.387,,0,0,,0,0,0.950836,,,,,106.391,151.421,151.126,142.58,5000,5196.39,1,
